Age	Months	ID	Gender	Condition	RT	Accuracy	Pure Case	Pure RT	MixRepCase	MixRepRT	MixSwiCase	MixSwiRT	PRspRCase	PRspRRT	PRspSCase	PRspSRT	MRspRCase	MRspRRT	MRspSCase	MRspSRT	Pure Correct	MixCorrect	MixRepCorrect	MixSwiCorrect	PureOmi	MixOmi	PRepOmi	MRepOmi	MSwiOmi	TotalOmi	PureCom	MixCom	PRepCom	MRepCom	MSwiCom	TotalCom	TotalOmi	AllError
4-year-old	50	YE001	m	1	1.9103	0.89583	26	1.9696	26	1.7488	11	2.2262	10	2.0625	16	1.9098	14	1.5899	12	1.9362	0.90741	0.88889	0.85185	1	6	6	5	6	0	12	1	2	0	2	0	3	12	15
4-year-old	57	YE002	m	2	1.2112	0.97222	32	1.0922	32	1.2962	9	1.2352	14	1.0045	18	1.1632	12	1.1688	20	1.3687	0.96296	0.97222	0.98148	0.94444	0	1	0	0	1	1	2	1	2	1	0	3	1	4
4-year-old	58	YE003	f	1	1.4072	0.98611	30	1.3988	32	1.3269	12	1.6601	13	1.2626	17	1.5057	12	1.0833	20	1.4713	0.98148	0.98611	1	0.94444	1	0	1	0	0	1	0	1	0	0	1	1	1	2
4-year-old	58	YE004	f	2	1.6841	0.60417	26	1.9131	26	1.4684	8	1.5848	10	1.6464	16	2.0837	9	1.4717	17	1.4672	0.55556	0.61111	0.62963	0.55556	5	8	5	5	3	13	24	20	19	15	5	44	13	57
4-year-old	56	YE005	m	1	1.4972	0.88194	33	1.3786	30	1.4141	11	1.6915	15	1.3536	18	1.4014	14	1.1802	16	1.6171	1	0.77778	0.75926	0.83333	1	5	0	4	1	6	0	11	0	9	2	11	6	17
4-year-old	58	YE006	m	2	1.5308	0.95139	32	1.2525	31	1.704	10	1.6657	11	1.0554	21	1.357	11	1.5523	20	1.7816	0.98148	0.91667	0.90741	0.94444	0	1	0	0	1	1	1	5	1	5	0	6	1	7
4-year-old	57	YE007	m	1	1.6492	0.97222	30	1.4217	34	1.6298	10	2.0658	11	1.3619	19	1.4596	12	1.3918	22	1.7615	0.94444	0.98611	1	0.94444	0	1	0	0	1	1	3	0	3	0	0	3	1	4
4-year-old	57	YE008	f	2	1.8429	0.44444	13	1.9277	14	1.9222	3	1.9372	5	1.9423	8	1.9195	6	1.7327	8	2.0586	0.46296	0.38889	0.40741	0.33333	19	20	16	14	6	39	17	24	13	18	6	41	39	80
4-year-old	55	YE009	m	1	1.7623	0.875	29	1.7117	27	1.6047	8	2.1258	12	1.596	17	1.7925	12	1.3691	15	1.7987	0.94444	0.84722	0.83333	0.88889	6	6	3	4	2	12	1	5	0	5	0	6	12	18
4-year-old	54	YE010	f	2	1.454	0.88889	31	1.4242	28	1.3779	11	1.7118	13	1.4335	18	1.4213	11	1.007	17	1.6163	0.90741	0.86111	0.83333	0.94444	0	5	0	4	1	5	6	5	5	5	0	11	5	16
4-year-old	55	YE011	f	1	1.3755	0.9375	29	1.3799	31	1.2857	10	1.3087	11	1.3114	18	1.4227	12	1.098	19	1.4009	0.94444	0.91667	0.92593	0.88889	2	1	2	1	0	3	1	5	1	3	2	6	3	9
4-year-old	54	YE012	m	1	1.5992	0.84722	28	1.5515	29	1.6757	11	1.7104	12	1.4902	16	1.6076	12	1.5814	17	1.744	0.90741	0.77778	0.74074	0.88889	6	3	5	3	0	9	0	13	0	11	2	13	9	22
4-year-old	52	YE013	m	1	1.3802	0.86806	29	1.3432	29	1.4107	9	1.4748	9	1.332	20	1.353	11	1.5506	18	1.324	0.92593	0.83333	0.87037	0.72222	6	5	3	3	2	11	1	7	1	4	3	8	11	19
4-year-old	49	YE014	f	2	1.7815	0.79167	28	1.8454	24	1.6017	9	1.7353	9	2.1343	19	1.7064	11	1.5373	13	1.6589	0.87037	0.72222	0.68519	0.83333	7	11	4	9	2	18	3	9	3	8	1	12	18	30
4-year-old	49	YE015	m	1	1.3288	0.84028	32	1.2765	27	1.4363	9	1.0614	13	1.2253	19	1.3091	11	1.347	16	1.4991	0.92593	0.73611	0.75926	0.66667	0	2	0	0	2	2	4	17	4	13	4	21	2	23
4-year-old	53	YE016	f	2	1.1673	0.53472	21	1.1588	29	0.85984	7	1.3183	10	1.32	11	1.0056	11	0.80663	18	0.88755	0.5	0.51389	0.55556	0.38889	10	6	8	3	3	16	22	29	19	21	8	51	16	67
4-year-old	56	YE018	m	2	1.5838	0.97917	31	1.3618	30	1.759	11	1.7937	12	1.3549	19	1.3652	11	1.5827	19	1.8639	0.98148	0.97222	0.96296	1	1	1	1	1	0	2	0	1	0	1	0	1	2	3
4-year-old	59	YE019	m	1	1.1342	0.65278	31	1.0284	27	0.95488	6	1.8131	13	1.0712	18	0.99847	9	0.87894	18	0.99286	0.77778	0.54167	0.61111	0.33333	1	2	0	0	2	3	16	31	12	21	10	47	3	50
4-year-old	59	YE020	m	2	1.3868	0.48611	20	1.2058	27	1.3301	7	1.8028	11	1.2723	9	1.1207	12	1.2901	15	1.3693	0.44444	0.5	0.53704	0.38889	13	2	10	1	1	15	25	34	20	24	10	59	15	74
4-year-old	53	YE021	f	1	1.4402	0.89583	32	1.2328	31	1.6013	9	1.9667	14	1.2391	18	1.2292	12	1.4633	19	1.6934	0.83333	0.94444	0.96296	0.88889	0	1	0	1	0	1	11	3	9	1	2	14	1	15
4-year-old	50	YE022	m	2	1.0648	0.73611	24	1.1045	31	0.93121	12	1.3403	10	0.80787	14	1.32	12	0.95793	19	0.91492	0.77778	0.70833	0.68519	0.77778	10	1	7	1	0	11	7	20	5	16	4	27	11	38
4-year-old	53	YE023	f	1	1.2831	0.53472	22	1.4224	21	1.0833	8	1.2394	11	1.1546	11	1.6874	9	1.2566	12	0.95404	0.57407	0.48611	0.46296	0.55556	10	11	6	9	2	21	20	26	17	20	6	46	21	67
