Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
417,A,F,1,0.99324,0.79705,32,0.70718,63,0.84166,9,0.78817,23,0.67569,15,0.80525,48,0.85084,17,0.70854,15,0.70361,27,0.81689,27,0.87871,9,0.80768,10,0.78559,14,0.85895,14,0.76709,14,0.81859,6,0.76456,5,0.80461,4,0.81315,9,0.88094,5,0.67671,5,0.6405,9,0.81597,9,0.92599,10,0.65197,13,0.69284,21,0.78329,27,0.90721,9,0.7443,7,0.73856,8,0.66766,7,0.73812
358,A,F,2,0.98649,0.79966,32,0.7329,63,0.83577,9,0.74423,23,0.73036,15,1.0118,48,0.77668,17,0.66713,15,0.8024,27,0.81189,27,0.90863,9,0.67225,10,0.96348,14,0.81567,14,0.60349,14,0.83374,6,0.9753,5,0.71006,4,0.95623,9,0.87964,5,0.56458,5,0.65113,9,0.62726,9,0.93736,10,0.70137,13,0.75165,21,0.71967,27,0.8282,9,0.64515,7,0.94526,8,0.69453,7,0.95988
231,A,F,1,0.97973,1.2301,32,1.3911,61,1.147,9,1.1918,23,1.4596,15,1.2583,46,1.1135,17,1.2434,15,1.5541,26,1.0701,26,1.3016,9,0.89978,10,1.7677,13,1.1505,14,1.2081,14,1.3218,6,1.9214,5,1.1696,4,1.4932,8,1.1444,5,1.5067,5,1.3841,9,1.0391,9,1.2917,10,1.5223,13,1.4132,21,1.0302,25,1.1773,9,1.4704,7,1.5857,8,0.96538,7,1.5888
640,A,F,1,0.98649,0.98841,31,0.9309,63,1.0132,9,0.95425,22,0.92378,15,1.0966,48,0.99053,16,0.8725,15,0.99461,27,0.89677,27,1.1293,9,1.0449,10,1.1391,14,0.98527,14,0.82477,14,1.0405,6,1.1547,5,0.97322,4,1.1111,9,0.99624,5,0.84888,5,0.93452,9,0.81261,9,1.1091,10,0.94287,12,0.90547,21,0.93194,27,1.0393,8,0.98432,7,1.031,8,0.76923,7,1.0347
271,A,F,2,0.97973,0.93103,32,1.08,63,0.85463,9,0.99923,23,1.1141,15,0.92948,48,0.82873,17,1.0846,15,1.0757,27,0.84941,27,0.92011,9,0.6565,10,1.0518,14,0.89345,14,1.0529,14,1.0531,6,1.3215,5,1.0899,4,0.64252,9,0.78757,5,1.3073,5,0.94944,9,0.9101,9,1.1205,10,1.1493,13,1.0817,21,0.76408,27,0.87872,9,1.2453,7,1.2303,8,0.89936,7,1.233
295,A,F,1,0.99324,0.84268,32,0.7479,62,0.89141,9,0.72058,23,0.76039,14,0.83723,48,0.90488,17,0.66908,15,0.84182,26,0.87313,27,0.92428,9,0.82935,10,0.89083,13,0.83143,14,0.83342,14,0.91166,6,0.82824,5,0.7665,4,0.98171,8,0.86529,5,0.65797,5,0.82722,9,0.93211,9,0.95931,10,0.79281,13,0.73157,21,0.86481,27,0.94112,9,0.65905,7,0.91447,8,0.67651,7,0.91233
241,A,F,2,0.97297,0.56348,32,0.67721,63,0.50467,9,0.67471,23,0.67947,15,0.46814,48,0.51685,17,0.53282,15,0.83669,27,0.50282,27,0.53903,9,0.40922,10,0.62056,14,0.54421,14,0.47135,14,0.67679,6,0.68601,5,0.59732,4,0.52849,9,0.51621,5,0.49745,5,0.93714,9,0.45558,9,0.53391,10,0.5978,13,0.74622,21,0.48742,27,0.54083,9,0.51851,7,1.1751,8,0.55076,7,1.1644
300,A,F,1,0.96622,1.1575,31,1.2662,62,1.1069,8,1.401,23,1.2153,15,1.2518,47,1.061,16,1.331,15,1.1835,27,1.1915,26,1.0881,9,0.90947,10,1.3309,14,1.4366,13,1.0039,14,1.023,6,1.3536,5,1.5488,4,1.3127,9,1.3716,4,1.0532,5,0.89027,9,0.98196,9,1.0963,10,1.2083,13,1.2255,21,1.1473,26,0.99382,8,1.3577,7,1.518,8,1.3099,7,1.5113
337,A,M,2,0.97973,0.7554,31,0.70045,60,0.786,9,0.71233,22,0.69554,13,0.82976,47,0.77346,16,0.60065,15,0.802,26,0.65445,27,0.93989,7,0.68499,7,0.78132,11,0.73093,15,0.54358,14,0.93812,4,0.76101,3,0.83078,3,0.80519,8,0.69311,7,0.52167,6,0.88249,8,0.56174,8,0.97131,10,0.76451,12,0.63506,19,0.69446,28,0.82721,8,0.60488,7,1.0101,8,0.59621,7,1.014
344,A,M,1,0.93243,0.68605,32,0.78939,61,0.62841,9,0.84125,23,0.77036,15,0.66624,46,0.61623,17,0.68243,15,0.90798,27,0.58824,25,0.70303,9,0.55209,10,0.8597,14,0.6929,14,0.54231,14,0.79831,6,0.90993,5,0.87522,4,0.7742,9,0.59217,5,0.56935,5,1.0498,9,0.52625,9,0.65338,10,0.86495,13,0.70625,21,0.54824,25,0.67518,9,0.71777,7,1.3268,8,0.64509,7,1.3457
