Month,age,gender,targetset,accuracy,rt_mean,P_no,P_rt,M_no,M_rt,P1_no,P1_rt,P234_no,P234_rt,M1_no,M1_rt,M234_no,M234_rt,PV_no,PV_rt,PA_no,PA_rt,MV_no,MV_rt,MA_no,MA_rt,MAV_no,MAV_rt,V2A_no,V2A_rt,A2V_no,A2V_rt,V2V_no,V2V_rt,A2A_no,A2A_rt,PV2A_no,PV2A_rt,PA2V_no,PA2V_rt,MV2A_no,MV2A_rt,MA2V_no,MA2V_rt,PV2V_no,PV2V_rt,PA2A_no,PA2A_rt,MV2V_no,MV2V_rt,MA2A_no,MA2A_rt,P_Rr_no,P_Rr_rt,P_Rs_no,P_Rs_rt,M_Rr_no,M_Rr_rt,M_Rs_no,M_Rs_rt,T1V_no,T1V_rt,T1A_no,T1A_rt,T2V_no,T2V_rt,T2A_no,T2A_rt
417,A,F,1,0.99324,0.79621,32,0.70762,63,0.84098,9,0.78704,23,0.67627,15,0.80817,48,0.8529,17,0.70826,15,0.70418,27,0.81825,27,0.87414,9,0.81065,10,0.78531,14,0.85834,14,0.76738,14,0.82426,6,0.76412,5,0.81009,4,0.82577,9,0.88567,5,0.67686,5,0.63786,9,0.81374,9,0.91747,10,0.65228,13,0.69318,21,0.78559,27,0.90507,9,0.74944,7,0.73963,8,0.66807,7,0.74002
358,A,F,2,0.98649,0.79944,32,0.73225,63,0.83444,9,0.74221,23,0.72769,15,1.0159,48,0.7799,17,0.66751,15,0.80568,27,0.81253,27,0.91116,9,0.67137,10,0.96218,14,0.81788,14,0.6051,14,0.83238,6,0.97103,5,0.7073,4,0.94545,9,0.87641,5,0.56368,5,0.6541,9,0.62645,9,0.93535,10,0.706,13,0.74694,21,0.71556,27,0.82652,9,0.6444,7,0.95474,8,0.69396,7,0.95022
231,A,F,1,0.97973,1.2275,32,1.3902,61,1.1407,9,1.2016,23,1.4623,15,1.2554,46,1.109,17,1.2338,15,1.5605,26,1.07,26,1.3034,9,0.90211,10,1.7559,13,1.162,14,1.2042,14,1.3216,6,1.9207,5,1.1736,4,1.5346,8,1.1462,5,1.4911,5,1.3756,9,1.0357,9,1.2853,10,1.5383,13,1.4096,21,1.0324,25,1.1708,9,1.4706,7,1.5891,8,0.96446,7,1.5961
640,A,F,1,0.98649,0.98981,31,0.93236,63,1.0156,9,0.95304,22,0.92221,15,1.1019,48,0.98853,16,0.87151,15,0.99344,27,0.89356,27,1.1312,9,1.0404,10,1.1356,14,0.98296,14,0.82546,14,1.0394,6,1.1538,5,0.98224,4,1.1161,9,0.99748,5,0.85214,5,0.93364,9,0.81005,9,1.1034,10,0.94678,12,0.90224,21,0.93398,27,1.0378,8,0.98336,7,1.0316,8,0.7689,7,1.0337
271,A,F,2,0.97973,0.93043,32,1.0784,63,0.85152,9,1.0008,23,1.1117,15,0.92875,48,0.83198,17,1.0892,15,1.0723,27,0.85094,27,0.92289,9,0.65977,10,1.0467,14,0.89281,14,1.052,14,1.0646,6,1.3114,5,1.0777,4,0.6438,9,0.7852,5,1.313,5,0.95194,9,0.90723,9,1.1131,10,1.1443,13,1.0842,21,0.76535,27,0.87898,9,1.2439,7,1.2355,8,0.90561,7,1.2272
295,A,F,1,0.99324,0.84266,32,0.7492,62,0.88853,9,0.72257,23,0.76139,14,0.84057,48,0.9055,17,0.66736,15,0.84253,26,0.8725,27,0.92484,9,0.83224,10,0.89153,13,0.82913,14,0.83127,14,0.90937,6,0.83094,5,0.76692,4,0.98351,8,0.86537,5,0.657,5,0.83002,9,0.92928,9,0.95398,10,0.79453,13,0.73348,21,0.86379,27,0.94211,9,0.65986,7,0.91197,8,0.68009,7,0.9117
241,A,F,2,0.97297,0.56271,32,0.67643,63,0.50464,9,0.67145,23,0.67633,15,0.46627,48,0.51694,17,0.53267,15,0.83907,27,0.50376,27,0.53871,9,0.40913,10,0.62198,14,0.54404,14,0.47087,14,0.67786,6,0.68434,5,0.59483,4,0.52886,9,0.51607,5,0.49575,5,0.91568,9,0.45617,9,0.53462,10,0.59955,13,0.74597,21,0.48603,27,0.54096,9,0.52016,7,1.1684,8,0.5491,7,1.1821
300,A,F,1,0.96622,1.1602,31,1.2667,62,1.1081,8,1.4007,23,1.2193,15,1.2514,47,1.0634,16,1.3401,15,1.1877,27,1.1927,26,1.0894,9,0.9117,10,1.3349,14,1.4397,13,0.99892,14,1.0253,6,1.3489,5,1.5557,4,1.3113,9,1.3749,4,1.0499,5,0.88797,9,0.979,9,1.0954,10,1.1931,13,1.2286,21,1.1425,26,0.99696,8,1.3624,7,1.5005,8,1.3153,7,1.5266
337,A,M,2,0.97973,0.75638,31,0.70106,60,0.78417,9,0.71081,22,0.69315,13,0.83254,47,0.7751,16,0.59992,15,0.80609,26,0.65235,27,0.94202,7,0.68512,7,0.78027,11,0.73286,15,0.54462,14,0.9401,4,0.76014,3,0.83304,3,0.80532,8,0.69573,7,0.52241,6,0.88703,8,0.5638,8,0.96943,10,0.76641,12,0.63733,19,0.69391,28,0.82664,8,0.60955,7,1.0065,8,0.59661,7,1.0112
344,A,M,1,0.93243,0.68606,32,0.79824,61,0.62904,9,0.84407,23,0.78106,15,0.66686,46,0.61633,17,0.68118,15,0.90834,27,0.58609,25,0.7048,9,0.55087,10,0.86027,14,0.69461,14,0.53888,14,0.79688,6,0.90938,5,0.87612,4,0.771,9,0.59078,5,0.57036,5,1.0848,9,0.52639,9,0.65289,10,0.85435,13,0.70346,21,0.54778,25,0.67387,9,0.71129,7,1.3315,8,0.64385,7,1.344
