ID,Month,age,gender,overallRT,overallAccu,visRT,audRT,mrtrRT,cmtrRT,mrtsRT,cmtsRT,v2vRT,a2vRT,a2aRT,v2aRT,VSingleRT,ASingleRT,visAccu,audAccu,mrtrAccu,cmtrAccu,mrtsAccu,cmtsAccu,v2vAccu,a2vAccu,a2aAccu,v2aAccu,VSingleAccu,ASingleAccu
AP01,361,A,M,908.9037,0.9913,936.9168,862.376,897.4992,895.0526,885.24,951.7305,868.835,800.085,694.03,851.2286,1011.4309,920.683,0.97368,1,1,1,1,0.96875,1,0.90909,1,1,1,1
AP02,411,A,F,915.37,0.98261,812.3512,1031.2587,831.8077,948.751,1005.9537,862.1685,788.0175,825.9337,1168.6017,961.27,810.086,997.845,0.96429,1,1,0.96552,1,0.97143,1,0.92857,1,1,1,1
AP03,583,A,F,1239.2111,1,1211.8909,1165.8482,1311.5824,1172.3795,1153.666,1272.8255,1129.065,1043.1267,1130.3367,1296.9,1798.675,1108.524,1,1,1,1,1,1,1,1,1,1,1,1
AP04,373,A,F,1351.724,1,1238.9055,1450.0047,1265.3654,1404.01,1354.365,1352.9564,1177.5614,1299.8457,1289.0333,1250.2,1239.3767,1570.2633,1,1,1,1,1,1,1,1,1,1,1,1
AP05,302,A,M,1032.1506,0.98261,1067.106,919.7084,987.9686,1020.9273,1004.169,1141.41,1265.5317,1136.8683,887.46,969.96,865.965,902.175,1,0.93939,1,0.95238,0.97059,1,1,1,1,1,1,0.85714
OP01,73,6,F,1933.7017,0.54783,1849.4818,1891.1563,1716.5583,1635.1889,2269.5,2138.5625,2040.4,1887.225,1196.825,1806.1,1668.55,2185.9,0.60526,0.46667,0.58333,0.57143,0.58333,0.46875,0.66667,0.63636,0.6,0.22222,0.52941,0.5625
OP02,77,6,F,1665.4469,0.92174,1417.0588,1901.8768,1494.7523,1587.4429,1984.4125,1603.13,1367.025,1496.0875,1699.9817,1935.3333,1330.64,2002.94,0.85714,0.90244,1,0.96552,0.85185,0.88571,1,0.85714,0.84615,0.84615,0.77778,1
OP03,78,6,M,1355.2258,0.9913,1415.587,1239.9123,1305.7333,1282.2695,1478.41,1418.557,1429.03,1449.3444,1277.2167,1253.9283,1306.025,1209.12,1,0.97222,1,1,0.95238,1,1,1,0.92308,1,1,1
OP04,73,6,F,1924.7619,0.95652,1820.9368,2126.6867,1816.5667,1955.4056,1978.0042,1865.7556,1782.15,1996.6714,1906.5667,2014.6667,1654.7,2237.4,0.9697,1,0.96,0.93103,1,0.92857,0.88889,1,1,1,1,1
OP05,80,6,M,1605.162,0.87826,1426.6717,1786.9729,1444.2376,1772.5183,1688.657,1526.6233,1395.42,1552.84,1754.715,1941.0667,1367.3488,1673.3257,0.86486,0.90909,0.78125,1,0.88235,0.89286,0.63636,0.90909,0.88889,1,1,0.85714
OP06,83,6,f,1852.9364,0.93913,1888.5316,2031.6,1987.0231,1859.2684,1831.45,1768.5111,2104.275,1564,2231.1333,1735.0833,1928.0909,2149.65,0.97368,0.9,0.95833,0.97143,0.95833,0.875,1,0.90909,0.8,0.88889,1,0.9375
OP07,74,6,f,1621.4501,0.96522,1599.9353,1706.3,1525.4462,1793.84,1675.0687,1475.8481,1725.55,1304.6125,1715,1738,1971.96,1682.06,0.92857,0.95122,1,0.93103,0.96296,0.97143,1,0.85714,0.92308,0.92308,1,1
YP02,52,4,F,2171.0211,0.57391,2202.6125,2312.9143,1932.9111,2136.6545,2288.5545,2346.4714,2246.475,2075.1667,1615.75,2792.9333,2225.6,2290.05,0.68421,0.46667,0.58333,0.65714,0.66667,0.40625,0.77778,0.45455,0.6,0.55556,0.76471,0.375
YP03,58,4,f,2131.9194,0.97391,2027.58,2179.13,2298.2385,1971.2789,2129.0333,2178.585,1873.075,1987.72,2128.2667,2131.3714,2101.8818,2227.82,1,1,1,0.97143,0.91667,1,1,1,1,1,1,1
YP04,58,4,F,2054.1698,0.83478,1960.945,2210.6692,2245.05,2125.0091,1837.7667,2065.92,1680.875,1975.8,2743.6,1987,2056.0364,2219.4167,0.94737,0.76667,0.91667,0.77143,0.83333,0.84375,0.88889,1,0.8,0.77778,0.94118,0.75
YP05,54,4,m,2194.9433,0.98261,2138.97,2187.7263,2047.4769,2112.5944,2296.9235,2282.6105,2264.375,2351.16,1859.4,2013.0857,1996.9182,2433,1,0.96667,1,0.97143,1,0.96875,1,1,1,1,1,0.9375
YP07,59,4,f,1711.2023,0.95652,1758.5779,1611.1926,1725.8985,1667.7117,1951.08,1560.883,1967.5667,1902.1,1328.2667,1316.51,1636.3436,1872.88,0.97368,0.96667,1,0.94286,0.91667,0.96875,0.88889,1,1,0.88889,1,1
YP01,56,4,m,2015.331,0.89565,1949.0187,1945.1176,1948.2667,1999.5563,2121.9615,1995.9765,1772.7,2079.45,1538.1,2005,1993.46,2052.8375,0.86842,0.9,0.95833,0.88571,0.83333,0.90625,1,0.63636,1,0.88889,0.94118,0.875
