ID,Month,age,gender,overallRT,overallAccu,visNo,visRT,audNo,audRT,mrtrNo,mrtrRT,cmtrNo,cmtrRT,mrtsNo,mrtsRT,cmtsNo,cmtsRT,visAccu,audAccu,mrtrAccu,cmtrAccu,mrtsAccu,cmtsAccu,v2vAccu,a2vAccu,a2aAccu,v2aAccu,VSingleAccu,ASingleAccu,mrtrVNo,mrtrV,mrtrANo,mrtrA,mrtsVNo,mrtsV,mrtsANo,mrtsA,cmtrVNo,cmtrV,cmtrANo,cmtrA,cmtsVNo,cmtsV,cmtsANo,cmtsA,trVsingleNo,trVsingleRT,trAsingleNo,trAsingleRT
AE01,352,A,m,1298.5064,0.86957,29,1230.4136,26,1373.758,12,1421.2506,15,1088.4443,15,1512.1561,13,1183.5784,0.90625,0.7027,0.95833,0.85714,0.91667,0.78125,1,0.88889,0.9,0.5,0.88235,0.73333,0,,5,1242.9221,6,1504.1933,4,1695.5842,4,1018.8233,3,1015.0567,4,1166.7441,3,954.9539,9,1156.1813,6,1618.2334
AE02,257,A,m,985.4244,0.97391,33,870.4336,38,1084.4103,13,949.0062,21,926.2735,16,1111.8461,21,967.8379,1,1,1,0.93103,0.96296,1,1,1,1,1,1,1,5,726.0324,2,1008.62,2,1184.94,11,1117.5021,7,902.3422,7,848.9974,4,707.3326,9,1237.1476,6,1002.1486,6,1033.9375
AE03,237,A,f,1042.8125,0.88696,34,963.9414,30,1131.0223,20,1023.729,18,896.8363,8,1037.8299,18,1210.7564,0.91892,0.88235,0.93103,0.87097,0.85714,0.88235,0.92308,1,1,0.86667,0.8,0.86667,8,972.7979,4,812.5867,4,661.9808,0,,8,827.2246,7,835.5418,6,1137.9566,6,1609.0284,5,1141.2058,6,1236.3587
AE04,227,A,m,934.4098,0.96522,32,944.0006,36,926.0951,13,819.7695,19,926.225,17,992.9856,19,968.9587,1,0.97297,0.91667,1,1,0.9375,1,1,1,0.91667,1,1,0,,6,728.3594,6,1021.8241,4,920.8707,4,892.314,4,844.1636,5,914.4147,7,915.6657,9,885.8816,9,995.3243
AE05,224,A,f,683.6433,1,32,691.2496,37,677.0333,13,634.9406,19,667.1429,17,689.2937,20,725.4315,1,1,1,1,1,1,1,1,1,1,1,1,0,,6,585.5571,6,706.3779,4,698.566,4,657.7153,4,626.3069,5,750.8122,8,783.4059,9,693.254,9,671.4958
AE06,266,A,f,936.2954,0.98261,32,909.8191,37,959.4161,13,913.1782,19,903.095,17,921.2587,20,994.5928,1,1,1,1,1,0.9375,1,1,1,1,1,1,0,,6,1004.0186,6,925.1534,4,945.8728,4,842.6144,4,870.7633,5,1004.6419,8,1137.6285,9,910.8708,9,888.5191
AE07,439,A,f,1138.2217,1,33,1077.5143,38,1191.4743,13,1087.9331,21,1130.7208,16,1209.0823,21,1121.9417,1,1,1,1,1,1,1,1,1,1,1,1,5,974.2439,2,1144.6,2,1062.22,11,1250.249,7,990.0722,7,1259.4107,4,938.7669,9,1196.3969,6,1192.4167,6,1099.0144
AE08,359,A,f,1379.9815,1,37,1185.64,34,1591.0313,21,1273.8867,20,1380.4447,10,1400.6979,20,1480.4474,1,1,1,1,1,1,1,1,1,1,1,1,8,977.1671,4,1568.1738,5,1075.104,0,,8,1151.5697,8,1557.2832,6,1442.3149,7,1519.4188,6,1248.3818,7,1573.8192
AE09,261,A,m,1006.0105,1,36,1058.1419,32,946.485,13,964.5998,20,923.545,24,1082.0038,11,1027.6746,1,1,1,1,1,1,1,1,1,1,1,1,5,961.7681,4,906.9199,7,1231.5621,8,962.8616,3,962.5123,5,753.077,3,892.7131,3,1164.8613,7,1014.3087,9,983.2752
AE10,474,A,m,755.4102,0.98261,35,789.9761,34,718.2236,21,657.0337,12,777.0609,21,812.5874,15,794.0234,1,1,0.96875,1,0.97059,1,1,1,1,1,1,1,7,685.1749,7,576.7269,7,742.6647,7,689.9932,2,676.35,3,691.4655,4,852.4793,3,601.2977,7,735.8952,7,816.3424
