ID,Month,age,gender,overallRT,overallAccu,visNo,visRT,audNo,audRT,mrtrNo,mrtrRT,cmtrNo,cmtrRT,mrtsNo,mrtsRT,cmtsNo,cmtsRT,visAccu,audAccu,mrtrAccu,cmtrAccu,mrtsAccu,cmtsAccu,v2vAccu,a2vAccu,a2aAccu,v2aAccu,VSingleAccu,ASingleAccu,mrtrVNo,mrtrV,mrtrANo,mrtrA,mrtsVNo,mrtsV,mrtsANo,mrtsA,cmtrVNo,cmtrV,cmtrANo,cmtrA,cmtsVNo,cmtsV,cmtsANo,cmtsA,trVsingleNo,trVsingleRT,trAsingleNo,trAsingleRT,TScost,MScost,CMTScost,combinedcost
YE01,56,1,2,2640.0739,.78261,21,2936.1289,27,2407.6284,11,2540.0251,13,2694.0866,8,2641.3929,16,2667.7922,.65625,.72973,.83333,.8,.58333,.875,.33333,.88889,.8,.58333,.64706,.8,0, ,6,2434.0666,2,2110.9,2,2103.5,4,2809.9214,1,3643.1,4,2722.5633,6,2452.1335,6,3091.5048,7,2116.9182,101.3678,154.0615,127.7671,255.4293
YE02,58,1,1,2303.8308,.76522,23,2134.9349,21,2482.6236,9,2158.8768,12,2449.3055,10,2529.8894,13,2091.9615,.71875,.56757,.79167,.77143,.70833,.78125,.66667,.77778,.6,.75,.70588,.4,0, ,4,1946.8193,4,2258.7133,2,2715.45,4,1740.3334,3,3320.9817,3,2600.2812,6,2030.2163,7,2056.1964,3,3241.5519,371.0126,290.4287,-66.9153000000001,661.4413
YE04,56,1,2,2278.3978,.75652,28,2390.0284,29,2169.9826,13,2319.6905,14,2387.03,19,2101.2904,11,2390.8104,.8,.82857,.90476,.72973,.86207,.57143,1,.55556,1,.7,.83333,.8125,5,2192.5755,3,2007.8105,7,2107.4664,6,2331.4483,3,2971.2489,3,1876.1294,2,2860.6,3,2118.7248,6,2394.3946,7,2532.5095,-218.4001,67.3395,71.1198999999997,-151.0606
YE05,57,1,1,2275.4129,.73913,26,2254.9481,19,2301.9393,13,2235.4629,12,2238.655,6,2803.0572,14,2121.592,.72222,.54286,.86207,.59375,.73913,.77419,.8,.8,.4,.6,.66667,.53333,2,1794.95,1,3691.1,1,2364,1,3163.9,6,2216.2023,3,2116.5091,5,2537.176,6,1642.9423,8,2130.9957,5,2391.0178,567.5943,3.19210000000021,-113.8709,570.7864
YE06,54,1,1,2140.9221,.75652,25,1902.6187,25,2379.7196,9,1933.1909,12,2249.3787,15,2024.5688,14,2303.3796,.78125,.67568,.625,.74286,.875,.78125,1,.55556,.7,.58333,.82353,.73333,0, ,4,2251.7035,6,1723.8159,3,2287.2355,2,1941.05,2,3195.6,3,2396.6512,5,2204.5049,7,1735.6169,6,2154.2714,91.3779,316.1878,370.1887,407.5657
YE09,55,1,1,1949.8582,.89565,31,1722.8886,31,2176.845,11,2024.2003,17,1990.806,15,1776.6259,19,2003.5759,.91176,.91176,.95,.9,.84848,.90625,1,.83333,.88889,1,.92308,.83333,4,2002.4518,3,2286.1943,5,1624.9578,4,2406.5174,7,1601.0441,4,2327.405,2,2386.95,9,2093.8722,4,1796.8404,6,2255.9987,-247.5744,-33.3942999999999,-20.6243999999999,-280.9687
YE10,59,1,2,2034.6374,.92174,34,1982.6793,29,2097.5773,20,2016.6872,19,1812.6136,7,2330.2953,17,2182.5323,.91892,.85294,.96552,.93548,.85714,.91176,.92308,.85714,1,.93333,1,.73333,8,1855.9421,4,1881.5716,4,2043.0576,0, ,8,1773.9701,8,1751.6771,4,1996.6581,6,2252.2831,6,2266.8862,5,2121.8028,313.6081,-204.0736,165.8451,109.5345
YE11,56,1,2,2003.4627,.82609,30,2183.0749,26,1796.1368,11,1794.6796,18,2020.9942,20,1989.8725,7,2323.0123,.83333,.8125,.88,.89655,.81818,.71429,.83333,1,.83333,.875,.77778,.75,4,1855.6432,3,1607.8126,6,2327.2942,7,1899.336,3,2437.8084,5,1718.7108,3,2794.9148,2,1745.35,6,2225.068,8,1827.5082,195.1929,226.3146,528.3327,421.5075
YE15,56,1,2,1950.2659,.97391,36,1952.6822,32,1948.7517,20,1900.3607,19,1772.3272,10,1958.2898,19,2177.0048,.97297,.94118,.96552,.96774,1,.97059,1,.92857,.75,1,1,.93333,8,2042.6577,3,1929.1064,5,1831.6983,0, ,8,1670.8132,8,1770.174,5,2177.3254,7,2077.5782,6,1797.773,6,1868.3522,57.9291000000001,-128.0335,276.6441,-70.1043999999999
YE18,55,1,1,2256.7342,.91304,32,2220.7225,28,2299.242,11,2395.3551,16,2103.9903,16,2384.9692,17,2188.6257,1,.75676,.91667,.88571,.95833,.90625,1,1,.7,.66667,1,.86667,0, ,4,2249.2966,6,2419.7454,3,2001.0379,4,1583.5911,2,1668.55,5,2183.026,6,2315.4243,9,2254.078,8,2626.7245,-10.3859000000002,-291.3648,-206.7294,-301.750700000001
