ID,Month,age,gender,overallRT,overallAccu,aTRno,aTSno,aMRno,aMSno,aMRTRno,aMRTSno,aCMTRno,aCMTSno,MRTRRsNo,MRTRRs,MRTRRrNo,MRTRRr,MRTSRsNo,MRTSRs,MRTSRrNo,MRTSRr,MSTRRsNo,MSTRRs,MSTRRrNo,MSTRRr,MSTSRsNo,MSTSRs,MSTSRrNo,MSTSRr,TRRsNo,TRRs,TRRrNo,TRRr,TSRsNo,TSRs,TSRrNo,TSRr,MRRsno,MRRs,MRRrno,MRRr,MSRsno,MSRs,MSRrno,MSRr
AE01,352,A,m,1299.418,0.86957,33,39,32,40,14,18,19,21,10,1491.089,2,1103.445,13,1323.7743,2,2718.8,14,1069.3409,1,1345.5,13,1187.1325,0,NaN,22,1217.0604,5,1326.3048,20,1378.0001,8,1320.4991,21,1408.5284,6,1703.3774,22,1148.8482,6,1074.1319
AE02,257,A,m,984.7316,0.97391,34,38,30,42,13,17,21,21,13,952.2127,0,NaN,13,1115.1409,3,1112.0438,16,960.0497,5,820.244,15,904.0891,6,1115.8845,23,990.9069,11,821.9386,22,975.2682,15,1110.4062,24,1015.3044,5,1166.554,26,922.3845,16,988.968
AE03,237,A,f,1041.7756,0.88696,41,31,32,40,21,11,20,20,14,975.686,6,1137.3727,8,1034.827,0,NaN,13,949.3317,5,758.9481,15,1284.4361,3,854.9727,24,964.932,14,958.7783,22,1142.941,4,1246.2552,17,1098.4734,11,921.8296,16,1291.2033,20,858.9971
AE04,227,A,m,934.6316,0.96522,33,39,32,40,14,18,19,21,10,839.8156,3,754.1623,15,977.6417,2,1108.95,18,931.7408,1,816.4,18,984.3243,1,746.18,25,909.4487,7,785.9228,25,1037.6277,11,851.9007,23,935.7959,7,859.319,30,952.91,8,937.4159
AE05,224,A,f,683.5494,1,33,39,32,40,14,18,19,21,10,646.1191,3,592.614,15,683.0748,2,735.295,18,669.2156,1,627.36,19,737.3368,1,522.1,25,666.7491,7,608.172,25,698.4626,12,732.0212,23,666.7084,7,661.2685,31,706.1723,8,662.3738
AE06,266,A,f,936.2543,0.98261,33,39,32,40,14,18,19,21,10,827.9181,3,1200.4975,15,910.596,2,998.75,18,904.7094,1,897.59,19,1004.1711,1,780.17,25,886.4108,7,982.8071,25,953.6846,12,973.868,23,882.6184,7,1029.4622,31,939.3716,8,987.4346
AE07,439,A,f,1138.1695,1,34,38,30,42,13,17,21,21,13,1086.3506,0,NaN,13,1059.9853,3,1852.4515,16,1149.6218,5,1072.6241,15,1177.5999,6,991.524,23,1146.8509,11,1045.6104,22,1152.6275,15,1172.7208,24,1080.5598,5,1514.9212,26,1193.7471,16,1019.7145
AE08,359,A,f,1378.8026,1,41,31,32,40,21,11,20,20,15,1349.5583,6,1075.3119,10,1399.9787,0,NaN,15,1385.7415,5,1360.5862,16,1517.4713,4,1331.9503,27,1421.5785,14,1136.1326,24,1464.2677,6,1418.9173,20,1469.2509,11,1032.366,19,1537.9096,21,1334.6456
AE09,261,A,m,1004.6403,1,35,37,38,34,14,24,21,13,13,966.7574,0,NaN,20,1106.4217,4,967.5781,17,930.0669,3,894.0929,10,1037.7019,1,913.24,25,947.9792,8,917.2857,27,1018.1919,8,1222.8731,24,1095.7388,13,943.4958,26,977.6559,5,872.0209
AE10,474,A,m,755.5991,0.98261,35,37,44,28,23,21,12,16,18,653.2261,3,681.0862,16,842.9762,5,715.9481,12,777.5866,0,NaN,12,817.3107,3,706.2482,27,714.3733,6,636.3207,26,840.4309,10,714.1251,27,754.929,15,696.8989,23,800.0235,4,707.077
